Date,Open,High,Low,Close,Total Trade Quantity
01-Jan-15,475.5,477.2,472.52,476.02,1772470
02-Jan-15,475.2,484.65,475.2,482.65,2950192
05-Jan-15,485,485.27,477.55,478.58,2398000
06-Jan-15,477,478.27,468.77,471.12,4109840
07-Jan-15,469.85,475.67,468.12,472.5,2873056
08-Jan-15,477.12,484.48,474.1,482.42,4762912
09-Jan-15,486.45,490,483.3,487.83,4492592
12-Jan-15,484.7,487.2,482.25,483.52,2063206
13-Jan-15,484.48,485.98,477.85,481.67,2914174
14-Jan-15,480.02,487.33,479.85,481.95,1842616
15-Jan-15,495,499.1,485.38,496.58,5699238
16-Jan-15,501.1,507.45,499.27,500.67,3910654
19-Jan-15,506.62,510,501.48,502.27,2119746
20-Jan-15,505,513.5,501,510.48,4252902
21-Jan-15,513.7,516.47,509.17,509.98,3370306
22-Jan-15,512.5,516.25,509.27,510.62,3235340
23-Jan-15,515,524,512.2,521.4,4993956
27-Jan-15,521.5,538.88,520.45,537.03,4981200
28-Jan-15,535,546.6,527.5,529.17,5682470
29-Jan-15,537.5,550.3,530.5,547.5,10283808
30-Jan-15,547.28,547.28,532.12,538.67,5285208
02-Feb-15,534.25,546.5,526.17,540.8,2855176
03-Feb-15,539.25,541.1,527.65,532.05,5100344
04-Feb-15,531.5,540.4,528.62,533.85,3098756
05-Feb-15,537.5,546.4,535.17,538.25,4029574
06-Feb-15,538.5,539.47,525.03,526.75,3451560
09-Feb-15,523.5,525.88,517.25,520.05,2615948
10-Feb-15,515,531.15,515,527.22,4637876
11-Feb-15,529,532.4,526.5,529.2,2080794
12-Feb-15,532.55,540.95,526.35,538,2762870
13-Feb-15,540.6,541,531.8,532.9,3857250
16-Feb-15,537.9,542.5,531.25,533.78,3694358
18-Feb-15,533.78,541.47,528.53,537.4,2690846
19-Feb-15,537,542.45,531.9,539.9,2253502
20-Feb-15,541.5,544.95,534.25,536.53,3103012
23-Feb-15,538.55,540.78,531,533.75,2790782
24-Feb-15,535.15,535.5,528.55,533.83,2923144
25-Feb-15,535,537.4,525,526.22,2324262
26-Feb-15,526.83,528,517.55,519.08,6213472
27-Feb-15,522.72,529.28,522.72,527,5130892
28-Feb-15,531.5,538.4,522.08,535.6,5790690
02-Mar-15,540.17,549.5,534,541.28,7192616
03-Mar-15,543.22,546,538.53,541.67,3014674
04-Mar-15,552.5,554.65,530,532.65,6138812
05-Mar-15,532.5,545,531.25,542.55,4851226
09-Mar-15,538.53,540.9,528,529.5,2877904
10-Mar-15,531,531.12,522.5,526.28,2567418
11-Mar-15,525.45,530.95,525,528.22,2732768
12-Mar-15,530.05,531.95,525.55,527.3,3765418
13-Mar-15,530,532,517.3,521.33,2713390
16-Mar-15,522.5,528.95,521.25,525.78,2674386
17-Mar-15,530,532.95,521.42,529.03,2684652
18-Mar-15,530.08,535.95,526.6,531.78,2574166
19-Mar-15,535.5,536.9,524.35,526.1,2686786
20-Mar-15,525.5,529.75,522.97,527.95,3241618
23-Mar-15,527.97,529.7,523,523.88,2723370
24-Mar-15,521.65,528.5,517.72,518.97,4486782
25-Mar-15,520.03,523.35,515.55,517.12,5304450
26-Mar-15,513.45,516.1,501.05,503.48,17900310
27-Mar-15,507.48,511.77,504.05,507.33,5420448
30-Mar-15,510,519.5,506.4,518.45,3477572
31-Mar-15,519.95,519.95,507.42,511.35,2981128
01-Apr-15,513.05,518.42,506.5,516.62,1922098
06-Apr-15,517.5,518.42,509.9,515.97,3575586
07-Apr-15,516.62,519.1,511.83,516.38,3098536
08-Apr-15,520.03,521.22,515.03,517.78,2053072
09-Apr-15,519.12,529.5,515,528.05,3501392
10-Apr-15,526.5,526.5,517.42,521.33,3059662
13-Apr-15,520,523.15,517.4,519.4,2281618
15-Apr-15,520,524.35,512.6,515.83,2446998
16-Apr-15,514,516.78,509,514.83,2805060
17-Apr-15,512.55,513.92,508.02,509.12,2024506
20-Apr-15,510,512.5,501.3,502.55,2594440
21-Apr-15,502.5,507.2,497.8,501.5,3255372
22-Apr-15,503.25,510.5,496.75,506.55,3382968
23-Apr-15,510.02,512.1,503.05,506.75,4813914
24-Apr-15,509.45,509.5,500.17,503.23,3602622
27-Apr-15,503.48,506.25,498,502.73,3685352
28-Apr-15,499.77,505.73,495.05,502.27,3971054
29-Apr-15,502,504.75,494,496.58,3931782
30-Apr-15,495.5,497.5,489.52,494.4,7571842
04-May-15,497.02,504.75,496,500.48,1570724
05-May-15,499.52,501.95,492.92,493.83,2569002
06-May-15,493.75,493.75,482.75,485.3,5503848
07-May-15,484,485,472.1,475.65,5868332
08-May-15,480.75,493.9,477.7,491,5785966
11-May-15,493.02,496.38,487.02,495.15,3365672
12-May-15,495,495,483.5,485.98,5553784
13-May-15,487.92,496.7,485.8,495.12,3895924
14-May-15,494.5,497.42,487,495.52,2227594
15-May-15,497.45,498.77,492.1,495.05,4076812
18-May-15,498,506,496,504.92,2856652
19-May-15,503.17,509,499.05,503.77,2393174
20-May-15,504.83,513.4,504.77,512.03,2004420
21-May-15,512,515,507.55,512.35,1967190
22-May-15,512.35,514.5,509.17,512.15,2344768
25-May-15,514.2,515.5,508.8,511.77,2184530
26-May-15,512.22,515.1,509.02,513.7,2453172
27-May-15,511.9,520,510.7,519.08,1609296
